Plant stand,temp,hail,crop-hist,area_damaged,severity,leafspots-halo,leafspots-marg,leafspot_size,leaf-mild,stem,lodging,stem_cankers,fruiting_bodies,external_decay,mycelium,int-discolor,sclerotia,fruit_pods,shriveling,roots
2,1,1,0,1,0,2,2,0,1,0,3,1,1,0,0,0,0,4,0,D1
2,0,3,1,1,1,2,2,0,1,1,3,0,1,0,0,0,0,4,0,D1
2,0,2,0,2,1,2,2,0,1,0,3,0,1,0,0,0,0,4,0,D1
2,0,1,1,1,0,2,2,0,1,1,3,1,1,0,0,0,0,4,0,D1
2,0,3,0,2,0,2,2,0,1,0,3,1,1,0,0,0,0,4,0,D1
2,0,2,0,1,1,2,2,0,1,1,3,1,1,0,0,0,0,4,0,D1
2,0,2,1,1,0,2,2,0,1,1,3,0,1,0,0,0,0,4,0,D1
2,0,1,0,2,1,2,2,0,1,0,3,0,1,0,0,0,0,4,0,D1
0,1,0,2,1,0,2,2,0,1,1,0,3,0,0,2,1,0,4,0,D2
0,0,2,3,1,1,2,2,0,1,0,0,3,0,0,2,1,0,4,0,D2
0,0,3,2,1,0,2,2,0,1,0,0,3,0,0,2,1,0,4,0,D2
0,1,3,3,1,1,2,2,0,1,0,0,3,0,0,2,1,0,4,0,D2
0,1,0,2,1,0,2,2,0,1,0,0,3,0,0,2,1,0,4,0,D2
0,1,1,3,1,1,2,2,0,1,1,0,3,0,0,2,1,0,4,0,D2
0,0,1,2,1,0,2,2,0,1,0,0,3,0,0,2,1,0,4,0,D2
0,1,2,2,1,0,2,2,0,1,1,0,3,0,0,2,1,0,4,0,D2
2,0,1,1,1,1,2,2,0,1,0,1,1,1,1,0,0,3,4,0,D3
2,0,3,1,2,0,2,2,0,1,0,1,1,1,0,0,0,3,4,0,D3
2,0,2,1,1,0,2,2,0,1,0,1,1,1,1,0,0,3,4,0,D3
2,0,0,1,1,1,2,2,0,1,0,1,1,1,0,0,0,3,4,0,D3
2,0,2,1,1,1,2,2,0,1,0,1,1,1,0,0,0,3,4,0,D3
2,1,0,1,2,0,2,2,0,1,1,1,1,1,1,0,0,3,4,0,D3
2,0,3,1,2,0,2,2,0,1,0,1,1,1,1,0,0,3,4,0,D3
2,0,0,1,1,0,2,2,0,1,0,1,1,1,0,0,0,3,4,1,D3
2,1,3,1,2,1,2,2,0,1,0,2,2,1,0,0,0,3,4,1,D4
1,0,1,1,1,0,2,2,0,1,0,1,2,0,0,0,0,3,4,1,D4
2,0,1,1,2,1,2,2,0,1,0,2,2,0,0,0,0,3,4,1,D4
2,1,1,1,2,0,2,2,0,1,0,1,2,1,0,0,0,3,4,1,D4
2,0,3,1,1,1,2,2,0,1,0,2,2,0,0,0,0,3,4,1,D4
2,0,0,1,2,1,2,2,0,1,0,2,2,0,0,0,0,3,4,1,D4
2,0,3,1,1,0,2,2,0,1,0,1,2,0,0,0,0,3,4,1,D4
2,0,1,1,2,0,2,2,0,1,0,1,2,0,0,0,0,3,4,1,D4
2,0,2,1,2,1,2,2,0,1,0,2,2,0,0,0,0,3,4,1,D4
1,0,2,1,2,1,2,2,0,1,0,2,2,0,0,0,0,3,4,1,D4
2,1,1,1,1,0,2,2,0,1,0,1,2,1,0,0,0,3,4,1,D4
2,1,3,1,2,0,2,2,0,1,1,1,2,1,0,0,0,3,4,1,D4
2,0,0,1,2,1,2,2,0,1,0,2,2,0,0,0,0,3,4,1,D4
2,1,2,3,1,1,2,2,0,1,0,2,2,1,0,0,0,3,4,1,D4
1,0,3,1,2,0,2,2,0,1,0,1,2,0,0,0,0,3,4,1,D4
